author,study.habitat,from,year,region,location,species,life.stage,family,common.name,genus,environment,climate,red.list,feeding.type,feeding.habit,TL,fork.length,total.length,W,GW,N,Cature.meth,min.size,float.meth,dig.meth,count.meth,polymer.meth,polymer.ID,blanks,blank.conc,ingest.rate,Mpsgut,SDMPsgut,MPspergfish,SDMPspergfish,maj.fib,maj.under.one.mm,maj.polymer,maj.col,exclude.fib,notes
Abasi et al.,Marine,Garth,2018,Indian Ocean: Western,Persian Gulf,Cynoglossus abbreviatus,Adult,Cynoglossidae,Three-lined tongue sole,Cynoglossus,Demersal,Deep-water,Not Evaluated,mainly animals,hunting macrofauna,3.5,24.6,,75.8,,11,Trawl,20,NaI,"H2O2, KOH, HClO4, HNO3",Visual,"Polarized, Fluorescence, SEM",yes,yes,0,,2.9,,,,yes,yes,,,no,
Abasi et al.,Marine,Garth,2018,Indian Ocean: Western,Persian Gulf,Platycephalus indicus,Adult,Platycephalidae,Bartail flathead,Platycephalus,Reef-associated,Subtropical,Data deficient,mainly animals,hunting macrofauna,3.6,19,,36.8,,12,Trawl,20,NaI,"H2O2, KOH, HClO4, HNO3",Visual,"Polarized, Fluorescence, SEM",yes,yes,0,,2.3,,,,yes,yes,,,no,
Abasi et al.,Marine,Garth,2018,Indian Ocean: Western,Persian Gulf,Saurida tumbil,Adult,Synodontidae,Greater lizardfish,Saurida,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,4.4,15.7,,36.1,,4,Trawl,20,NaI,"H2O2, KOH, HClO4, HNO3",Visual,"Polarized, Fluorescence, SEM",yes,yes,0,,2.8,,,,yes,yes,,,no,
Abasi et al.,Marine,Garth,2018,Indian Ocean: Western,Persian Gulf,Sillago sihama,Adult,Sillaginidae,Silver sillago,Sillago,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3.3,18.6,,57.2,,17,Trawl,20,NaI,"H2O2, KOH, HClO4, HNO3",Visual,"Polarized, Fluorescence, SEM",yes,yes,0,,1.5,,,,yes,yes,,,no,
Adika et al.,Marine,Garth,2020,Atlantic: Eastern Central,Coast of Ghana,Sardinella maderensis,Adult,Clupeidae,Madeiran sardinella,Sardinella,Pelagic-neritic,Subtropical,Vulnerable,mainly animals,selective plankton feeding,3.2,,21.7,94.5,,80,Fishers,1.2,None,KOH,Visual,None,no,yes,,,40,,,,no,,,,no,
Adika et al.,Marine,Garth,2020,Atlantic: Eastern Central,Coast of Ghana,Sardinella aurita,Adult,Clupeidae,Round sardinella,Sardinella,Reef-associated,Subtropical,Least Concern,plants/detritus+animals,selective plankton feeding,3.4,,22.6,117.4,,47,Fishers,1.2,None,KOH,Visual,None,no,yes,,,26,,,,no,,,,no,
Adika et al.,Marine,Garth,2020,Atlantic: Eastern Central,Coast of Ghana,Dentex angolensis,Adult,Sparidae,Angolan dentex,Dentex,Demersal,Deep-water,Near Threatened,mainly animals,hunting macrofauna,3.5,,20.5,134.8,,28,Fishers,1.2,None,KOH,Visual,None,no,yes,,,32,,,,no,,,,no,
Alomar and Deudero,Marine,Hailey,2017,Mediterranean and Black Sea,"Balearic Islands, Spain",Chimaera monstrosa,Adult,Chimaeridae,Rabbit fish,Chimaera,Bathydemersal,Deep-water,Near Threatened,mainly animals,hunting macrofauna,3.5,,,,,2,Trawl,500,None,None,Visual,FTIR,yes,yes,0,0,,,0,0,,,,,no,samples collected from 1987-2015
Alomar and Deudero,Marine,Hailey,2017,Mediterranean and Black Sea,"Balearic Islands, Spain",Etmopterus spinax,Adult,Etmopteridae,Velvet belly,Etmopterus,Bathydemersal,Deep-water,Least Concern,mainly animals,hunting macrofauna,4.1,,,,,8,Trawl,500,None,None,Visual,FTIR,yes,yes,0,50,,,0.01,0.005,yes,,Cellophane,,no,
Alomar and Deudero,Marine,Hailey,2017,Mediterranean and Black Sea,"Balearic Islands, Spain",Galeus melastomus,Adult,Scyliorhinidae,Blackmouth catshark,Galeus,Demersal,Deep-water,Least Concern,mainly animals,hunting macrofauna,4.2,,29.94,90.74,,125,Trawl,500,None,None,Visual,FTIR,yes,yes,0,16.8,0.34,0.07,0.004,0.006,yes,,Cellophane,Clear,no,
Alomar and Deudero,Marine,Hailey,2017,Mediterranean and Black Sea,"Balearic Islands, Spain",Scyliorhinus canicula,Adult,Scyliorhinidae,Lesser spotted dogfish,Scyliorhinus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.8,,,,,5,Trawl,500,None,None,Visual,FTIR,yes,yes,0,0,,,0,0,,,,,no,particles <0.05 mm exlcuded 
Alomar et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Mallorca Island,Mullus surmuletus,Adult,Mullidae,Surmullet,Mullus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.5,,19.57,110.07,4.9,417,Bottom trawl,500,None,None,Visual,FTIR,yes,yes,,27.3,0.42,0.04,,,yes,,PET,Blue,no,
Anastopoulou et al.,Marine,Garth,2018,Mediterranean and Black Sea,Slovenian Sea,Chelon auratus,Adult,Mugilidae,Golden grey mullet,Chelon,Pelagic-neritic,Temperate,Least Concern,plants/detritus+animals,variable,2.8,,3.43,364.8,,20,Bottom trawl,20,None,H2O2,Visual,None,no,yes,,95,9.5,8.4,,,yes,,,,no,
Anastopoulou et al.,Marine,Garth,2018,Mediterranean and Black Sea,"North-east Ionian Sea, Greece",Mullus barbatus barbatus,Adult,Mullidae,Red mullet,Mullus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.1,,1.29,28.54,,25,Bottom trawl,20,None,H2O2,Visual,None,no,yes,,32,0.5,0.8,,,yes,,,,no,
