"","author","year","region","species","family","genus","environment","climate","red.list","feeding.type","feeding.habit","TL","min.size","float.meth","dig.meth","count.meth","polymer.meth","polymer.ID","blanks","maj.fib","maj.under.one.mm","maj.polymer","maj.col","exclude.fib","fork.lengthprod","total.lengthprod","Wprod","GWprod","N","IRprod","Mpsgutprod","SDMPsgutprod","fork.length","total.length","W","GW","IR","Mpsgut","SDMPsgut","study"
"1","Abasi et al.","2018","Indian Ocean, Western","Cynoglossus abbreviatus","Cynoglossidae","Cynoglossus","Demersal","Deep-water","Not Evaluated","mainly animals","hunting macrofauna",3.5,20,"NaI","H2O2, KOH, HClO4, HNO3","","Polarized, Fluorescence, SEM","yes","yes","yes","yes","","","no",270.6,NA,833.8,NA,11,NA,31.9,NA,24.6,NA,75.8,NA,NA,2.9,NA,"Abasi et al.2018"
"2","Abasi et al.","2018","Indian Ocean, Western","Platycephalus indicus","Platycephalidae","Platycephalus","Reef-associated","Subtropical","Data deficient","mainly animals","hunting macrofauna",3.6,20,"NaI","H2O2, KOH, HClO4, HNO3","Visual","Polarized, Fluorescence, SEM","yes","yes","yes","yes","","","no",228,NA,441.6,NA,12,NA,27.6,NA,19,NA,36.8,NA,NA,2.3,NA,"Abasi et al.2018"
"3","Abasi et al.","2018","Indian Ocean, Western","Saurida tumbil","Synodontidae","Saurida","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",4.4,20,"NaI","H2O2, KOH, HClO4, HNO3","","Polarized, Fluorescence, SEM","yes","yes","yes","yes","","","no",62.8,NA,144.4,NA,4,NA,11.2,NA,15.7,NA,36.1,NA,NA,2.8,NA,"Abasi et al.2018"
"4","Abasi et al.","2018","Indian Ocean, Western","Sillago sihama","Sillaginidae","Sillago","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.3,20,"NaI","H2O2, KOH, HClO4, HNO3","","Polarized, Fluorescence, SEM","yes","yes","yes","yes","","","no",316.2,NA,972.4,NA,17,NA,25.5,NA,18.6,NA,57.2,NA,NA,1.5,NA,"Abasi et al.2018"
"5","Alomar and Deudero","2017","Mediterranean and Black Sea","Chimaera monstrosa","Chimaeridae","Chimaera","Bathydemersal","Deep-water","Near Threatened","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Alomar and Deudero2017"
"6","Alomar and Deudero","2017","Mediterranean and Black Sea","Etmopterus spinax","Etmopteridae","Etmopterus","Bathydemersal","Deep-water","Least Concern","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","FTIR","yes","yes","yes","","Cellophane","","no",NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,0.5,NA,NA,"Alomar and Deudero2017"
"7","Alomar and Deudero","2017","Mediterranean and Black Sea","Galeus melastomus","Scyliorhinidae","Galeus","Demersal","Deep-water","Least Concern","mainly animals","hunting macrofauna",4.2,500,"None","None","Visual","FTIR","yes","yes","yes","","Cellophane","Clear","no",NA,3742.5,11342.5,NA,125,21,42.5,8.75,NA,29.94,90.74,NA,0.168,0.34,0.07,"Alomar and Deudero2017"
"8","Alomar and Deudero","2017","Mediterranean and Black Sea","Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Alomar and Deudero2017"
"9","Alomar et al.","2017","Mediterranean and Black Sea","Mullus surmuletus","Mullidae","Mullus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","yes","yes","","PET","Blue","no",NA,8160.69,45899.19,2043.3,417,113.841,175.14,16.68,NA,19.57,110.07,4.9,0.273,0.42,0.04,"Alomar et al.2017"
"10","Anastopoulou et al.","2018","Mediterranean and Black Sea","Chelon auratus","Mugilidae","Chelon","Pelagic-neritic","Temperate","Least Concern","plants/detritus+animals","variable",2.8,20,"None","H2O2","Visual","None","no","yes","yes","","","","no",NA,68.6,7296,NA,20,19,190,168,NA,3.43,364.8,NA,0.95,9.5,8.4,"Anastopoulou et al.2018"
